"Country or Area","Year(s)","RESIDENCE AREA","Value","Value Footnotes"
"Grenada","2012","Rural","95",""
"Grenada","2012","Total","97",""
"Grenada","2012","Urban","99",""
"Grenada","2010","Rural","95",""
"Grenada","2010","Total","97",""
"Grenada","2010","Urban","99",""
"Grenada","2005","Rural","95",""
"Grenada","2005","Total","97",""
"Grenada","2005","Urban","99",""
"Grenada","2000","Rural","95",""
"Grenada","2000","Total","97",""
"Grenada","2000","Urban","99",""
"Guatemala","2012","Rural","89",""
"Guatemala","2012","Total","94",""
"Guatemala","2012","Urban","99",""
"Guatemala","2010","Rural","88",""
"Guatemala","2010","Total","93",""
"Guatemala","2010","Urban","99",""
"Guatemala","2005","Rural","85",""
"Guatemala","2005","Total","90",""
"Guatemala","2005","Urban","97",""
"Guatemala","2000","Rural","81",""
"Guatemala","2000","Total","87",""
"Guatemala","2000","Urban","95",""
"Guinea","2012","Rural","65",""
"Guinea","2012","Total","75",""
"Guinea","2012","Urban","92",""
"Guinea","2010","Rural","63",""
"Guinea","2010","Total","73",""
"Guinea","2010","Urban","92",""
"Guinea","2005","Rural","57",""
"Guinea","2005","Total","68",""
"Guinea","2005","Urban","90",""
"Guinea","2000","Rural","51",""
"Guinea","2000","Total","63",""
"Guinea","2000","Urban","89",""
"Guinea-Bissau","2012","Rural","56",""
"Guinea-Bissau","2012","Total","74",""
"Guinea-Bissau","2012","Urban","96",""
"Guinea-Bissau","2010","Rural","53",""
"Guinea-Bissau","2010","Total","70",""
"Guinea-Bissau","2010","Urban","91",""
"Guinea-Bissau","2005","Rural","48",""
"Guinea-Bissau","2005","Total","61",""
"Guinea-Bissau","2005","Urban","80",""
"Guinea-Bissau","2000","Rural","43",""
"Guinea-Bissau","2000","Total","52",""
"Guinea-Bissau","2000","Urban","68",""
"Guyana","2012","Urban","97",""
"Guyana","2012","Total","98",""
"Guyana","2012","Rural","98",""
"Guyana","2010","Urban","96",""
"Guyana","2010","Total","97",""
"Guyana","2010","Rural","97",""
"Guyana","2005","Rural","90",""
"Guyana","2005","Total","91",""
"Guyana","2005","Urban","96",""
"Guyana","2000","Rural","83",""
"Guyana","2000","Total","86",""
"Guyana","2000","Urban","95",""
"Haiti","2012","Rural","47",""
"Haiti","2012","Total","62",""
"Haiti","2012","Urban","75",""
"Haiti","2010","Rural","48",""
"Haiti","2010","Total","62",""
"Haiti","2010","Urban","76",""
"Haiti","2005","Rural","49",""
"Haiti","2005","Total","62",""
"Haiti","2005","Urban","79",""
"Haiti","2000","Rural","49",""
"Haiti","2000","Total","61",""
"Haiti","2000","Urban","82",""
"Honduras","2012","Rural","82",""
"Honduras","2012","Total","90",""
"Honduras","2012","Urban","97",""
"Honduras","2010","Rural","80",""
"Honduras","2010","Total","88",""
"Honduras","2010","Urban","96",""
"Honduras","2005","Rural","75",""
"Honduras","2005","Total","85",""
"Honduras","2005","Urban","95",""
"Honduras","2000","Rural","70",""
"Honduras","2000","Total","81",""
"Honduras","2000","Urban","94",""
"Hungary","2012","Total","100",""
"Hungary","2012","Urban","100",""
"Hungary","2012","Rural","100",""
"Hungary","2010","Total","100",""
"Hungary","2010","Urban","100",""
"Hungary","2010","Rural","100",""
"Hungary","2005","Total","100",""
"Hungary","2005","Urban","100",""
"Hungary","2005","Rural","100",""
"Hungary","2000","Rural","98",""
"Hungary","2000","Total","99",""
"Hungary","2000","Urban","100",""
"Iceland","2012","Total","100",""
"Iceland","2012","Urban","100",""
"Iceland","2012","Rural","100",""
"Iceland","2010","Total","100",""
"Iceland","2010","Urban","100",""
"Iceland","2010","Rural","100",""
"Iceland","2005","Total","100",""
"Iceland","2005","Urban","100",""
"Iceland","2005","Rural","100",""
"Iceland","2000","Total","100",""
"Iceland","2000","Urban","100",""
"Iceland","2000","Rural","100",""
"India","2012","Rural","91",""
"India","2012","Total","93",""
"India","2012","Urban","97",""
"India","2010","Rural","88",""
"India","2010","Total","91",""
"India","2010","Urban","96",""
"India","2005","Rural","82",""
"India","2005","Total","86",""
"India","2005","Urban","94",""
"India","2000","Rural","76",""
"India","2000","Total","81",""
"India","2000","Urban","92",""
"Indonesia","2012","Rural","76",""
"Indonesia","2012","Total","85",""
"Indonesia","2012","Urban","93",""
"Indonesia","2010","Rural","75",""
"Indonesia","2010","Total","84",""
"Indonesia","2010","Urban","93",""
"Indonesia","2005","Rural","71",""
"Indonesia","2005","Total","81",""
"Indonesia","2005","Urban","92",""
"Indonesia","2000","Rural","68",""
"Indonesia","2000","Total","78",""
"Indonesia","2000","Urban","91",""
"Iran (Islamic Republic of)","2012","Rural","92",""
"Iran (Islamic Republic of)","2012","Total","96",""
"Iran (Islamic Republic of)","2012","Urban","98",""
"Iran (Islamic Republic of)","2010","Rural","91",""
"Iran (Islamic Republic of)","2010","Total","96",""
"Iran (Islamic Republic of)","2010","Urban","98",""
"Iran (Islamic Republic of)","2005","Rural","89",""
"Iran (Islamic Republic of)","2005","Total","95",""
"Iran (Islamic Republic of)","2005","Urban","98",""
"Iran (Islamic Republic of)","2000","Rural","87",""
"Iran (Islamic Republic of)","2000","Total","94",""
"Iran (Islamic Republic of)","2000","Urban","98",""
"Iraq","2012","Rural","69",""
"Iraq","2012","Total","85",""
"Iraq","2012","Urban","94",""
"Iraq","2010","Rural","65",""
"Iraq","2010","Total","84",""
"Iraq","2010","Urban","94",""
"Iraq","2005","Rural","57",""
"Iraq","2005","Total","82",""
"Iraq","2005","Urban","94",""
"Iraq","2000","Rural","49",""
"Iraq","2000","Total","80",""
"Iraq","2000","Urban","95",""
"Ireland","2012","Total","100",""
"Ireland","2012","Urban","100",""
"Ireland","2012","Rural","100",""
"Ireland","2010","Total","100",""
"Ireland","2010","Urban","100",""
"Ireland","2010","Rural","100",""
"Ireland","2005","Total","100",""
"Ireland","2005","Urban","100",""
"Ireland","2005","Rural","100",""
"Ireland","2000","Total","100",""
"Ireland","2000","Urban","100",""
"Ireland","2000","Rural","100",""
"Israel","2012","Total","100",""
"Israel","2012","Urban","100",""
"Israel","2012","Rural","100",""
"Israel","2010","Total","100",""
"Israel","2010","Urban","100",""
"Israel","2010","Rural","100",""
"Israel","2005","Total","100",""
"Israel","2005","Urban","100",""
"Israel","2005","Rural","100",""
"Israel","2000","Total","100",""
"Israel","2000","Urban","100",""
"Israel","2000","Rural","100",""
"Italy","2012","Total","100",""
"Italy","2012","Urban","100",""
"Italy","2012","Rural","100",""
"Italy","2010","Total","100",""
"Italy","2010","Urban","100",""
"Italy","2010","Rural","100",""
"Italy","2005","Total","100",""
"Italy","2005","Urban","100",""
"Italy","2005","Rural","100",""
"Italy","2000","Total","100",""
"Italy","2000","Urban","100",""
"Italy","2000","Rural","100",""
"Jamaica","2012","Rural","89",""
"Jamaica","2012","Total","93",""
"Jamaica","2012","Urban","97",""
"Jamaica","2010","Rural","89",""
"Jamaica","2010","Total","93",""
"Jamaica","2010","Urban","97",""
"Jamaica","2005","Rural","89",""
"Jamaica","2005","Total","93",""
"Jamaica","2005","Urban","97",""
"Jamaica","2000","Rural","89",""
"Jamaica","2000","Total","93",""
"Jamaica","2000","Urban","98",""
"Japan","2012","Total","100",""
"Japan","2012","Urban","100",""
"Japan","2012","Rural","100",""
"Japan","2010","Total","100",""
"Japan","2010","Urban","100",""
"Japan","2010","Rural","100",""
"Japan","2005","Total","100",""
"Japan","2005","Urban","100",""
"Japan","2005","Rural","100",""
"Japan","2000","Total","100",""
"Japan","2000","Urban","100",""
"Japan","2000","Rural","100",""
"Jordan","2012","Rural","90",""
"Jordan","2012","Total","96",""
"Jordan","2012","Urban","97",""
"Jordan","2010","Rural","91",""
"Jordan","2010","Total","96",""
"Jordan","2010","Urban","97",""
"Jordan","2005","Rural","91",""
"Jordan","2005","Total","96",""
"Jordan","2005","Urban","98",""
"Jordan","2000","Rural","91",""
"Jordan","2000","Total","97",""
"Jordan","2000","Urban","98",""
"Kazakhstan","2012","Rural","86",""
"Kazakhstan","2012","Total","93",""
"Kazakhstan","2012","Urban","99",""
"Kazakhstan","2010","Rural","86",""
"Kazakhstan","2010","Total","93",""
"Kazakhstan","2010","Urban","99",""
"Kazakhstan","2005","Rural","87",""
"Kazakhstan","2005","Total","94",""
"Kazakhstan","2005","Urban","99",""
"Kazakhstan","2000","Rural","88",""
"Kazakhstan","2000","Total","94",""
"Kazakhstan","2000","Urban","98",""
"Kenya","2012","Rural","55",""
"Kenya","2012","Total","62",""
"Kenya","2012","Urban","82",""
"Kenya","2010","Rural","53",""
"Kenya","2010","Total","60",""
"Kenya","2010","Urban","83",""
"Kenya","2005","Rural","48",""
"Kenya","2005","Total","56",""
"Kenya","2005","Urban","85",""
"Kenya","2000","Rural","43",""
"Kenya","2000","Total","52",""
"Kenya","2000","Urban","87",""
"Kiribati","2012","Rural","51",""
"Kiribati","2012","Total","67",""
"Kiribati","2012","Urban","87",""
"Kiribati","2010","Rural","49",""
"Kiribati","2010","Total","65",""
"Kiribati","2010","Urban","86",""
"Kiribati","2005","Rural","46",""
"Kiribati","2005","Total","62",""
"Kiribati","2005","Urban","83",""
"Kiribati","2000","Rural","43",""
"Kiribati","2000","Total","59",""
"Kiribati","2000","Urban","80",""
"Kuwait","2012","Total","99",""
"Kuwait","2012","Urban","99",""
"Kuwait","2012","Rural","99",""
"Kuwait","2010","Total","99",""
"Kuwait","2010","Urban","99",""
"Kuwait","2010","Rural","99",""
"Kuwait","2005","Total","99",""
"Kuwait","2005","Urban","99",""
"Kuwait","2005","Rural","99",""
"Kuwait","2000","Total","99",""
"Kuwait","2000","Urban","99",""
"Kuwait","2000","Rural","99",""
"Kyrgyzstan","2012","Rural","82",""
"Kyrgyzstan","2012","Total","88",""
"Kyrgyzstan","2012","Urban","97",""
"Kyrgyzstan","2010","Rural","82",""
"Kyrgyzstan","2010","Total","88",""
"Kyrgyzstan","2010","Urban","97",""
"Kyrgyzstan","2005","Rural","77",""
"Kyrgyzstan","2005","Total","84",""
"Kyrgyzstan","2005","Urban","97",""
"Kyrgyzstan","2000","Rural","69",""
"Kyrgyzstan","2000","Total","79",""
"Kyrgyzstan","2000","Urban","96",""
"Lao People's Democratic Republic","2012","Rural","65",""
"Lao People's Democratic Republic","2012","Total","72",""
"Lao People's Democratic Republic","2012","Urban","84",""
"Lao People's Democratic Republic","2010","Rural","60",""
"Lao People's Democratic Republic","2010","Total","67",""
"Lao People's Democratic Republic","2010","Urban","82",""
"Lao People's Democratic Republic","2005","Rural","49",""
"Lao People's Democratic Republic","2005","Total","57",""
"Lao People's Democratic Republic","2005","Urban","77",""
"Lao People's Democratic Republic","2000","Rural","38",""
"Lao People's Democratic Republic","2000","Total","45",""
"Lao People's Democratic Republic","2000","Urban","72",""
"Latvia","2012","Rural","96",""
"Latvia","2012","Total","98",""
"Latvia","2012","Urban","100",""
"Latvia","2010","Rural","96",""
"Latvia","2010","Total","98",""
"Latvia","2010","Urban","100",""
"Latvia","2005","Rural","96",""
"Latvia","2005","Total","98",""
"Latvia","2005","Urban","100",""
"Latvia","2000","Rural","96",""
"Latvia","2000","Total","98",""
"Latvia","2000","Urban","100",""
"Lebanon","2012","Total","100",""
"Lebanon","2012","Urban","100",""
"Lebanon","2012","Rural","100",""
"Lebanon","2010","Total","100",""
"Lebanon","2010","Urban","100",""
"Lebanon","2010","Rural","100",""
"Lebanon","2005","Total","100",""
"Lebanon","2005","Urban","100",""
"Lebanon","2005","Rural","100",""
"Lebanon","2000","Total","100",""
"Lebanon","2000","Urban","100",""
"Lebanon","2000","Rural","100",""
"Lesotho","2012","Rural","77",""
"Lesotho","2012","Total","81",""
"Lesotho","2012","Urban","93",""
"Lesotho","2010","Rural","76",""
"Lesotho","2010","Total","81",""
"Lesotho","2010","Urban","93",""
"Lesotho","2005","Rural","76",""
"Lesotho","2005","Total","80",""
"Lesotho","2005","Urban","93",""
"Lesotho","2000","Rural","76",""
"Lesotho","2000","Total","79",""
"Lesotho","2000","Urban","93",""
"Liberia","2012","Rural","63",""
"Liberia","2012","Total","75",""
"Liberia","2012","Urban","87",""
"Liberia","2010","Rural","61",""
"Liberia","2010","Total","72",""
"Liberia","2010","Urban","85",""
"Liberia","2005","Rural","55",""
"Liberia","2005","Total","67",""
"Liberia","2005","Urban","80",""
"Liberia","2000","Rural","50",""
"Liberia","2000","Total","61",""
"Liberia","2000","Urban","76",""
"Libya","2000","Total","54",""
"Libya","2000","Urban","54",""
"Libya","2000","Rural","55",""
"Lithuania","2012","Rural","89",""
"Lithuania","2012","Total","96",""
"Lithuania","2012","Urban","99",""
"Lithuania","2010","Rural","87",""
"Lithuania","2010","Total","95",""
"Lithuania","2010","Urban","99",""
"Lithuania","2005","Rural","84",""
"Lithuania","2005","Total","93",""
"Lithuania","2005","Urban","98",""
"Lithuania","2000","Rural","80",""
"Lithuania","2000","Total","91",""
"Lithuania","2000","Urban","97",""
"Luxembourg","2012","Total","100",""
"Luxembourg","2012","Urban","100",""
"Luxembourg","2012","Rural","100",""
"Luxembourg","2010","Total","100",""
"Luxembourg","2010","Urban","100",""
"Luxembourg","2010","Rural","100",""
"Luxembourg","2005","Total","100",""
"Luxembourg","2005","Urban","100",""
"Luxembourg","2005","Rural","100",""
"Luxembourg","2000","Total","100",""
"Luxembourg","2000","Urban","100",""
"Luxembourg","2000","Rural","100",""
"Madagascar","2012","Rural","35",""
"Madagascar","2012","Total","50",""
"Madagascar","2012","Urban","78",""
"Madagascar","2010","Rural","34",""
"Madagascar","2010","Total","48",""
"Madagascar","2010","Urban","78",""
"Madagascar","2005","Rural","29",""
"Madagascar","2005","Total","43",""
"Madagascar","2005","Urban","76",""
"Madagascar","2000","Rural","24",""
"Madagascar","2000","Total","38",""
"Madagascar","2000","Urban","75",""
"Malawi","2012","Rural","83",""
"Malawi","2012","Total","85",""
"Malawi","2012","Urban","95",""
"Malawi","2010","Rural","79",""
"Malawi","2010","Total","81",""
"Malawi","2010","Urban","94",""
"Malawi","2005","Rural","68",""
"Malawi","2005","Total","72",""
"Malawi","2005","Urban","94",""
"Malawi","2000","Rural","57",""
"Malawi","2000","Total","62",""
"Malawi","2000","Urban","93",""
"Malaysia","2012","Rural","99",""
"Malaysia","2012","Total","100",""
"Malaysia","2012","Urban","100",""
"Malaysia","2010","Rural","99",""
"Malaysia","2010","Total","100",""
"Malaysia","2010","Urban","100",""
"Malaysia","2005","Rural","99",""
"Malaysia","2005","Total","100",""
"Malaysia","2005","Urban","100",""
"Malaysia","2000","Rural","93",""
"Malaysia","2000","Total","96",""
"Malaysia","2000","Urban","99",""
"Maldives","2012","Rural","98",""
"Maldives","2012","Total","99",""
"Maldives","2012","Urban","100",""
"Maldives","2010","Rural","97",""
"Maldives","2010","Total","98",""
"Maldives","2010","Urban","100",""
"Maldives","2005","Rural","95",""
"Maldives","2005","Total","97",""
"Maldives","2005","Urban","100",""
"Maldives","2000","Rural","93",""
"Maldives","2000","Total","95",""
"Maldives","2000","Urban","100",""
"Mali","2012","Rural","54",""
"Mali","2012","Total","67",""
"Mali","2012","Urban","91",""
"Mali","2010","Rural","51",""
"Mali","2010","Total","64",""
"Mali","2010","Urban","87",""
"Mali","2005","Rural","43",""
"Mali","2005","Total","54",""
"Mali","2005","Urban","79",""
"Mali","2000","Rural","36",""
"Mali","2000","Total","45",""
"Mali","2000","Urban","70",""
"Malta","2012","Total","100",""
"Malta","2012","Urban","100",""
"Malta","2012","Rural","100",""
"Malta","2010","Total","100",""
"Malta","2010","Urban","100",""
"Malta","2010","Rural","100",""
"Malta","2005","Total","100",""
"Malta","2005","Urban","100",""
"Malta","2005","Rural","100",""
"Malta","2000","Total","100",""
"Malta","2000","Urban","100",""
"Malta","2000","Rural","100",""
"Marshall Islands","2012","Urban","93",""
"Marshall Islands","2012","Total","95",""
"Marshall Islands","2012","Rural","98",""
"Marshall Islands","2010","Urban","93",""
"Marshall Islands","2010","Total","94",""
"Marshall Islands","2010","Rural","97",""
"Marshall Islands","2005","Urban","93",""
"Marshall Islands","2005","Total","94",""
"Marshall Islands","2005","Rural","97",""
"Marshall Islands","2000","Urban","92",""
"Marshall Islands","2000","Total","93",""
"Marshall Islands","2000","Rural","96",""
"Mauritania","2012","Rural","48",""
"Mauritania","2012","Total","50",""
"Mauritania","2012","Urban","52",""
"Mauritania","2010","Rural","48",""
"Mauritania","2010","Total","50",""
"Mauritania","2010","Urban","52",""
"Mauritania","2005","Rural","43",""
"Mauritania","2005","Total","46",""
"Mauritania","2005","Urban","49",""
"Mauritania","2000","Rural","37",""
"Mauritania","2000","Total","40",""
"Mauritania","2000","Urban","45",""
"Mauritius","2012","Total","100",""
"Mauritius","2012","Urban","100",""
"Mauritius","2012","Rural","100",""
"Mauritius","2010","Total","100",""
"Mauritius","2010","Urban","100",""
"Mauritius","2010","Rural","100",""
"Mauritius","2005","Total","99",""
"Mauritius","2005","Rural","99",""
"Mauritius","2005","Urban","100",""
"Mauritius","2000","Total","99",""
"Mauritius","2000","Rural","99",""
"Mauritius","2000","Urban","100",""
"Mexico","2012","Rural","91",""
"Mexico","2012","Total","95",""
"Mexico","2012","Urban","96",""
"Mexico","2010","Rural","88",""
"Mexico","2010","Total","94",""
"Mexico","2010","Urban","96",""
"Mexico","2005","Rural","81",""
"Mexico","2005","Total","91",""
"Mexico","2005","Urban","95",""
"Mexico","2000","Rural","73",""
"Mexico","2000","Total","89",""
"Mexico","2000","Urban","94",""
"Micronesia (Federated States of)","2012","Rural","87",""
"Micronesia (Federated States of)","2012","Total","89",""
"Micronesia (Federated States of)","2012","Urban","95",""
"Micronesia (Federated States of)","2010","Rural","88",""
"Micronesia (Federated States of)","2010","Total","89",""
"Micronesia (Federated States of)","2010","Urban","95",""
"Micronesia (Federated States of)","2005","Rural","88",""
"Micronesia (Federated States of)","2005","Total","90",""
"Micronesia (Federated States of)","2005","Urban","94",""
"Micronesia (Federated States of)","2000","Rural","89",""
"Micronesia (Federated States of)","2000","Total","90",""
"Micronesia (Federated States of)","2000","Urban","94",""
"Monaco","2012","Total","100",""
"Monaco","2012","Urban","100",""
"Monaco","2010","Total","100",""
"Monaco","2010","Urban","100",""
"Monaco","2005","Total","100",""
"Monaco","2005","Urban","100",""
"Monaco","2000","Total","100",""
"Monaco","2000","Urban","100",""
"Mongolia","2012","Rural","61",""
"Mongolia","2012","Total","85",""
"Mongolia","2012","Urban","95",""
"Mongolia","2010","Rural","57",""
"Mongolia","2010","Total","82",""
"Mongolia","2010","Urban","94",""
"Mongolia","2005","Rural","48",""
"Mongolia","2005","Total","76",""
"Mongolia","2005","Urban","93",""
"Mongolia","2000","Rural","38",""
"Mongolia","2000","Total","68",""
"Mongolia","2000","Urban","91",""
"Montenegro","2012","Rural","95",""
"Montenegro","2012","Total","98",""
"Montenegro","2012","Urban","100",""
"Montenegro","2010","Rural","95",""
"Montenegro","2010","Total","98",""
"Montenegro","2010","Urban","100",""
"Montenegro","2005","Rural","95",""
"Montenegro","2005","Total","98",""
"Montenegro","2005","Urban","100",""
"Montenegro","2000","Rural","95",""
"Montenegro","2000","Total","98",""
"Montenegro","2000","Urban","100",""
"Morocco","2012","Rural","64",""
"Morocco","2012","Total","84",""
"Morocco","2012","Urban","98",""
"Morocco","2010","Rural","63",""
"Morocco","2010","Total","83",""
"Morocco","2010","Urban","98",""
"Morocco","2005","Rural","60",""
"Morocco","2005","Total","80",""
"Morocco","2005","Urban","97",""
"Morocco","2000","Rural","58",""
"Morocco","2000","Total","78",""
"Morocco","2000","Urban","96",""
"Mozambique","2012","Rural","35",""
"Mozambique","2012","Total","49",""
"Mozambique","2012","Urban","80",""
"Mozambique","2010","Rural","34",""
"Mozambique","2010","Total","48",""
"Mozambique","2010","Urban","79",""
"Mozambique","2005","Rural","30",""
"Mozambique","2005","Total","44",""
"Mozambique","2005","Urban","77",""
"Mozambique","2000","Rural","27",""
"Mozambique","2000","Total","41",""
"Mozambique","2000","Urban","75",""
"Myanmar","2012","Rural","81",""
"Myanmar","2012","Total","86",""
"Myanmar","2012","Urban","95",""
"Myanmar","2010","Rural","78",""
"Myanmar","2010","Total","83",""
"Myanmar","2010","Urban","93",""
"Myanmar","2005","Rural","69",""
"Myanmar","2005","Total","75",""
"Myanmar","2005","Urban","89",""
"Myanmar","2000","Rural","60",""
"Myanmar","2000","Total","67",""
"Myanmar","2000","Urban","85",""
"Namibia","2012","Rural","87",""
"Namibia","2012","Total","92",""
"Namibia","2012","Urban","98",""
"Namibia","2010","Rural","84",""
"Namibia","2010","Total","90",""
"Namibia","2010","Urban","98",""
"Namibia","2005","Rural","77",""
"Namibia","2005","Total","85",""
"Namibia","2005","Urban","98",""
"Namibia","2000","Rural","70",""
"Namibia","2000","Total","79",""
"Namibia","2000","Urban","99",""
"Nauru","2012","Total","96",""
"Nauru","2012","Urban","96",""
"Nauru","2010","Total","96",""
"Nauru","2010","Urban","96",""
"Nauru","2005","Total","94",""
"Nauru","2005","Urban","94",""
"Nauru","2000","Total","93",""
"Nauru","2000","Urban","93",""
"Nepal","2012","Total","88",""
"Nepal","2012","Rural","88",""
"Nepal","2012","Urban","90",""
"Nepal","2010","Rural","85",""
"Nepal","2010","Total","86",""
"Nepal","2010","Urban","91",""
"Nepal","2005","Rural","80",""
"Nepal","2005","Total","82",""
"Nepal","2005","Urban","93",""
"Nepal","2000","Rural","74",""
"Nepal","2000","Total","77",""
"Nepal","2000","Urban","94",""
"Netherlands","2012","Total","100",""
"Netherlands","2012","Urban","100",""
"Netherlands","2012","Rural","100",""
"Netherlands","2010","Total","100",""
"Netherlands","2010","Urban","100",""
"Netherlands","2010","Rural","100",""
"Netherlands","2005","Total","100",""
"Netherlands","2005","Urban","100",""
"Netherlands","2005","Rural","100",""
"Netherlands","2000","Total","100",""
"Netherlands","2000","Urban","100",""
"Netherlands","2000","Rural","100",""
"New Zealand","2012","Total","100",""
"New Zealand","2012","Urban","100",""
"New Zealand","2012","Rural","100",""
"New Zealand","2010","Total","100",""
"New Zealand","2010","Urban","100",""
"New Zealand","2010","Rural","100",""
"New Zealand","2005","Total","100",""
"New Zealand","2005","Urban","100",""
"New Zealand","2005","Rural","100",""
"New Zealand","2000","Total","100",""
"New Zealand","2000","Urban","100",""
"New Zealand","2000","Rural","100",""
"Nicaragua","2012","Rural","68",""
"Nicaragua","2012","Total","85",""
"Nicaragua","2012","Urban","98",""
"Nicaragua","2010","Rural","68",""
"Nicaragua","2010","Total","85",""
"Nicaragua","2010","Urban","98",""
"Nicaragua","2005","Rural","65",""
"Nicaragua","2005","Total","83",""
"Nicaragua","2005","Urban","97",""
"Nicaragua","2000","Rural","62",""
"Nicaragua","2000","Total","80",""
"Nicaragua","2000","Urban","95",""
"Niger","2012","Rural","42",""
"Niger","2012","Total","52",""
"Niger","2012","Urban","99",""
"Niger","2010","Rural","41",""
"Niger","2010","Total","51",""
"Niger","2010","Urban","95",""
"Niger","2005","Rural","38",""
"Niger","2005","Total","46",""
"Niger","2005","Urban","87",""
"Niger","2000","Rural","35",""
"Niger","2000","Total","42",""
"Niger","2000","Urban","78",""
"Nigeria","2012","Rural","49",""
"Nigeria","2012","Total","64",""
"Nigeria","2012","Urban","79",""
"Nigeria","2010","Rural","47",""
"Nigeria","2010","Total","63",""
"Nigeria","2010","Urban","79",""
"Nigeria","2005","Rural","42",""
"Nigeria","2005","Total","59",""
"Nigeria","2005","Urban","79",""
"Nigeria","2000","Rural","38",""
"Nigeria","2000","Total","55",""
"Nigeria","2000","Urban","78",""
"Niue","2012","Total","99",""
"Niue","2012","Urban","99",""
"Niue","2012","Rural","99",""
"Niue","2010","Total","99",""
"Niue","2010","Urban","99",""
"Niue","2010","Rural","99",""
"Niue","2005","Total","99",""
"Niue","2005","Urban","99",""
"Niue","2005","Rural","99",""
"Niue","2000","Total","99",""
"Niue","2000","Urban","99",""
"Niue","2000","Rural","99",""
"Norway","2012","Total","100",""
"Norway","2012","Urban","100",""
"Norway","2012","Rural","100",""
"Norway","2010","Total","100",""
"Norway","2010","Urban","100",""
"Norway","2010","Rural","100",""
"Norway","2005","Total","100",""
"Norway","2005","Urban","100",""
"Norway","2005","Rural","100",""
"Norway","2000","Total","100",""
"Norway","2000","Urban","100",""
"Norway","2000","Rural","100",""
"Oman","2012","Rural","86",""
"Oman","2012","Total","93",""
"Oman","2012","Urban","95",""
"Oman","2010","Rural","84",""
"Oman","2010","Total","92",""
"Oman","2010","Urban","94",""
"Oman","2005","Rural","80",""
"Oman","2005","Total","88",""
"Oman","2005","Urban","91",""
"Oman","2000","Rural","75",""
"Oman","2000","Total","84",""
"Oman","2000","Urban","87",""
"Pakistan","2012","Rural","89",""
"Pakistan","2012","Total","91",""
"Pakistan","2012","Urban","96",""
"Pakistan","2010","Rural","89",""
"Pakistan","2010","Total","91",""
"Pakistan","2010","Urban","96",""
"Pakistan","2005","Rural","87",""
"Pakistan","2005","Total","90",""
"Pakistan","2005","Urban","96",""
"Pakistan","2000","Rural","85",""
"Pakistan","2000","Total","88",""
"Pakistan","2000","Urban","96",""
"Palau","2012","Urban","97",""
"Palau","2010","Rural","86",""
"Palau","2010","Total","95",""
"Palau","2010","Urban","97",""
"Palau","2005","Rural","84",""
"Palau","2005","Total","94",""
"Palau","2005","Urban","97",""
"Palau","2000","Rural","80",""
"Palau","2000","Total","92",""
"Palau","2000","Urban","97",""
"Panama","2012","Rural","87",""
"Panama","2012","Total","94",""
"Panama","2012","Urban","97",""
"Panama","2010","Rural","85",""
"Panama","2010","Total","94",""
"Panama","2010","Urban","97",""
"Panama","2005","Rural","80",""
"Panama","2005","Total","92",""
"Panama","2005","Urban","97",""
"Panama","2000","Rural","76",""
"Panama","2000","Total","90",""
"Panama","2000","Urban","98",""
"Papua New Guinea","2012","Rural","33",""
"Papua New Guinea","2012","Total","40",""
"Papua New Guinea","2012","Urban","88",""
"Papua New Guinea","2010","Rural","32",""
"Papua New Guinea","2010","Total","39",""
"Papua New Guinea","2010","Urban","88",""
"Papua New Guinea","2005","Rural","29",""
"Papua New Guinea","2005","Total","37",""
"Papua New Guinea","2005","Urban","88",""
"Papua New Guinea","2000","Rural","27",""
"Papua New Guinea","2000","Total","35",""
"Papua New Guinea","2000","Urban","88",""
"Paraguay","2012","Rural","83",""
"Paraguay","2012","Total","94",""
"Paraguay","2012","Urban","100",""
"Paraguay","2010","Rural","78",""
"Paraguay","2010","Total","91",""
"Paraguay","2010","Urban","99",""
"Paraguay","2005","Rural","65",""
"Paraguay","2005","Total","83",""
"Paraguay","2005","Urban","95",""
"Paraguay","2000","Rural","51",""
"Paraguay","2000","Total","73",""
"Paraguay","2000","Urban","91",""
"Peru","2012","Rural","72",""
"Peru","2012","Total","87",""
"Peru","2012","Urban","91",""
"Peru","2010","Rural","69",""
"Peru","2010","Total","86",""
"Peru","2010","Urban","91",""
"Peru","2005","Rural","63",""
"Peru","2005","Total","83",""
"Peru","2005","Urban","90",""
"Peru","2000","Rural","56",""
"Peru","2000","Total","81",""
"Peru","2000","Urban","90",""
"Philippines","2012","Rural","91",""
"Philippines","2012","Total","92",""
"Philippines","2012","Urban","92",""
"Philippines","2010","Rural","91",""
"Philippines","2010","Total","92",""
"Philippines","2010","Urban","92",""
"Philippines","2005","Rural","87",""
"Philippines","2005","Total","90",""
"Philippines","2005","Urban","92",""
"Philippines","2000","Rural","83",""
"Philippines","2000","Total","88",""
"Philippines","2000","Urban","92",""
"Poland","2012","Urban","100",""
"Poland","2010","Urban","100",""
"Poland","2005","Urban","100",""
"Poland","2000","Urban","100",""
"Portugal","2012","Total","100",""
"Portugal","2012","Urban","100",""
"Portugal","2012","Rural","100",""
"Portugal","2010","Rural","99",""
"Portugal","2010","Total","100",""
"Portugal","2010","Urban","100",""
"Portugal","2005","Rural","98",""
"Portugal","2005","Total","99",""
"Portugal","2005","Urban","99",""
